SNP,Chromosome,Position,Pvals
ZNF621,3,40525841,0.002048258
AP3M1,10,74123845,0.002065096
BMPR2,2,202377541,0.002066273
GDAP1,8,74350484,0.002079239
DET1,15,88512995,0.002103598
PAPSS2,10,87709214,0.002111512
NUDT4,12,93378323,0.002189297
SV2B,15,91226303,0.002197717
TSPAN12,7,120788617,0.002199955
TRMT112,11,64316944,0.002212596
PABPC3,13,25096223,0.002215955
DNMT3A,2,25234299,0.002254903
ATXN7L2,1,109484051,0.002258843
PDE6G,17,81651657,0.002271693
ITSN1,21,33721198,0.002280463
CD8A,2,86785930,0.002280532
GOSR1,17,30477441,0.002293777
ZCCHC11,1,52423942,0.002309774
ABCB5,7,20623335,0.002340831
CRTC2,1,153948119,0.002435192
RAB5A,3,19950909,0.002444673
VPS33B,15,90999013,0.002449835
CMTR2,16,71283615,0.002491715
RSPO2,8,107901108,0.002505436
CLEC7A,12,10118469,0.002531533
ELP1,9,108869135,0.00263198
OR2AE1,7,99876079,0.002637596
EXOC2,6,486705,0.002643669
STKLD1,9,133376474,0.002664044
PARP2,14,20343646,0.002710739
TDRD7,9,97428654,0.002733567
C22orf39,22,19441661,0.002867091
CITED2,6,139373179,0.003039199
GRB10,7,50592965,0.003067273
ENPEP,4,110476461,0.003069221
SSTR4,20,23035504,0.00307047
MKRN3,15,23565850,0.003071672
KIAA1644,22,44285437,0.003092209
IL31RA,5,55851572,0.003101134
STK32C,10,132208021,0.003110629
CAMK2D,4,113455765,0.003111687
HAUS8,19,17049884,0.003191639
ZNF570,19,37467903,0.003210005
FCRL3,1,157678687,0.003215011
ERF,19,42248499,0.003327272
CPSF4L,17,73248497,0.003354404
TXNDC5,6,7883179,0.003421685
IL17RE,3,9902619,0.003476402
CCDC152,5,42759128,0.003482083
MRPS14,1,175014691,0.003503875
RREB1,6,7181922,0.003509808
ZNF816-ZNF321P,19,52928906,0.003523847
IDH3B,20,2658461,0.003559287
STXBP5L,3,120909654,0.00358117
CACNG5,17,66877361,0.003585721
MAP2K2,19,4090614,0.003593918
RIPOR1,16,67529841,0.00359551
FBRS,16,30659798,0.003628575
RAET1G,6,149916920,0.00367161
C17orf47,17,58541816,0.003671903
ERP27,12,14914780,0.003673989
SNF8,17,48930497,0.003724042
DPH6,15,35372163,0.003743751
ENO3,17,4951840,0.00382604
KMT2A,11,118436526,0.003867753
GPX1,3,49357420,0.003921417
MEOX1,17,43641914,0.003934356
PTTG1,5,160422371,0.003952879
TACC3,4,1723432,0.003966727
ZNF777,7,149431786,0.004096778
ALAS1,3,52199248,0.004137327
SYNC,1,32681822,0.004186568
CA2,8,85465421,0.004330046
ZBTB44,11,130233349,0.004344873
NCKAP5,2,132725637,0.004374751
PGM5,9,68357134,0.004386085
UGT1A9,2,233671939,0.004425783
CUTC,10,99732352,0.004469382
TRIM59,3,160438030,0.004505972
SFRP1,8,41265178,0.004512094
CIR1,2,174348547,0.004527898
SF3B4,1,149923580,0.004557568
MFSD6L,17,8797398,0.004569277
NEURL1,10,103494424,0.004601284
FGF1,5,142595348,0.004659198
NIPAL2,8,98192983,0.004689552
NBPF15,1,144423035,0.00475697
NDFIP2,13,79481220,0.004830907
CAMK2N1,1,20485285,0.004869764
FRAT1,10,97319503,0.00487321
ZG16,16,29779505,0.004923951
FAM96B,16,66932275,0.004925755
PTPA,9,129120518,0.004948774
DLEC1,3,38039272,0.004955841
SMTNL1,11,57542672,0.004968439
ACSF2,17,50426266,0.004990676
NPSR1,7,34658438,0.005020446
MACC1,7,20140992,0.005030817
DNAJC5G,2,27276756,0.005056006
SYNJ2,6,157982007,0.005064408
NDUFA8,9,122144293,0.005097839
DNAJB4,1,78005270,0.005115823
IL12RB2,1,67320405,0.005133912
GALNT2,1,230067303,0.005237061
NSUN6,10,18545939,0.005292385
WBP1,2,74458610,0.005295362
BMP6,6,7727060,0.005362976
FUT7,9,137030762,0.005386621
HNF4A,20,44401394,0.005425115
TMTC4,13,100604996,0.005468736
CEP63,3,134495342,0.00552438
BCL11B,14,99174162,0.005583468
CCDC42,17,8730137,0.005596805
DNAJC14,12,55822039,0.005609916
DNAH1,3,52322474,0.005663363
PQLC2L,3,157553267,0.00568268
NPY4R,10,46461776,0.005717751
GKN1,2,68974661,0.005734004
SEC13,3,10301281,0.005769262
LEAP2,5,132873727,0.005810136
CCDC38,12,95867081,0.005844136
ORMDL2,12,55819006,0.005861023
SYS1,20,45363532,0.005863648
ILDR1,3,121988383,0.005866731
PHLPP1,18,62715723,0.005908433
DPH7,9,137555270,0.00593858
SEMA4D,9,89362406,0.006017051
NID1,1,235977913,0.006027489
IMPA2,18,11981688,0.006044613
ZNF14,19,19711389,0.006045451
JUNB,19,12791774,0.006089175
RPS6KA5,14,90872090,0.006174293
HBP1,7,107169023,0.006178546
SNAI1,20,49983088,0.006237497
TTC9,14,70642152,0.006239949
TAS2R60,7,143443470,0.006304567
STK25,2,241495666,0.006367188
PACS2,14,105314925,0.006379828
GPR107,9,130053957,0.006439863
DUOX1,15,45131967,0.006457673
YIPF3,6,43512189,0.006643138
SENP8,15,72139663,0.006652081
C1orf56,1,151047924,0.006704869
COQ3,6,99369612,0.006741316
PFN2,3,149966229,0.006741318
ARPC1A,7,99333360,0.006746234
CDS2,20,5127099,0.006751513
CD300C,17,74541591,0.006807081
GPR22,7,107474077,0.006814562
PCSK5,9,75891196,0.006827265
DOPEY2,21,36164743,0.006827346
TMEFF1,9,100473582,0.006827805
SLC16A12,10,89433073,0.006842127
ZNF763,19,11977105,0.006861355
OR5M8,11,56490465,0.006915661
PIP5K1B,9,68822643,0.006925517
GABPB1,15,50278651,0.006960024
PLD1,3,171603181,0.00701714
SLAIN1,13,77697916,0.007044665
SOX8,16,981924,0.00705192
RYBP,3,72378417,0.007054857
ZNF280D,15,56631502,0.00709023
COX14,12,50120057,0.007106617
NCDN,1,35559195,0.007177179
GTSCR1,18,70630577,0.007191064
TAAR9,6,132538308,0.007205946
ZDHHC11B,5,730446,0.007217876
TMEM63B,6,44134621,0.007239929
CLRN2,4,17515287,0.007243965
YRDC,1,37803951,0.007256706
C16orf59,16,2460145,0.007270779
KLHL10,17,41837933,0.007284531
RIOK3,18,23463041,0.007330175
ADAMTS17,15,99974406,0.007393833
ZNF79,9,127428849,0.007398115
UMPS,3,124730491,0.007433378
RBBP4,1,32657456,0.007450319
DAZAP1,19,1418207,0.007494287
RAD18,3,8881370,0.007587154
MALL,2,110091621,0.007615231
RAI1,17,17792956,0.007699205
FAM228B,2,24124404,0.007702343
EGFR,7,55019293,0.007716582
STON2,14,81261788,0.007728146
OPA1,3,193614733,0.007905138
DGKI,7,137391256,0.007920845
CEACAM8,19,42583276,0.007921698
PTEN,10,87864420,0.007955754
ITIH3,3,52795606,0.008003115
PLEKHF1,19,29673876,0.008007271
PRLHR,10,118594161,0.008086302
EAF1,3,15427780,0.008119481
TMPRSS6,22,37066115,0.008162636
ZNF233,19,44264365,0.008237864
WDR83,19,12669791,0.008251755
C2orf69,2,199911441,0.00826154
DUSP7,3,52050849,0.008270026
CLCC1,1,108934692,0.008301197
GPR137C,14,52553164,0.008303744
TMEM232,5,110420584,0.008312555
HDAC7,12,47783845,0.008335071
NFIL3,9,91409383,0.008347605
CBX5,12,54241787,0.008437706
NOD1,7,30425654,0.008462696
KLHDC3,6,43017200,0.0084905
OR5AK2,11,56988930,0.008492139
TSPAN9,12,3201204,0.008534795
MAVS,20,3854658,0.00854425
CBY1,22,38665619,0.008551955
IL10RB,21,33266485,0.008609549
C4orf33,4,129102665,0.008661116
DNAJC7,17,41977285,0.008744864
SEMA6A,5,116446657,0.008754886
FSD1L,9,105461546,0.008807376
TMEM184C,4,147618032,0.008872423
PISD,22,31619640,0.00888035
DPH3P1,20,62845670,0.008977804
RRAD,16,66922091,0.008997209
ENPP4,6,46139589,0.009010908
REEP3,10,63521574,0.00901835
OR4C16,11,55572209,0.009076955
PTGIS,20,49507925,0.009122423
CASP2,7,143288472,0.009167668
RAC1,7,6398684,0.009208924
TMEM70,8,73976305,0.009233161
CD164,6,109368315,0.009279211
OCM2,7,97987082,0.009469792
FBXL12,19,9810907,0.009479792
PSEN2,1,226881956,0.009526578
RNASE1,14,20801610,0.00957291
ZNF835,19,56663607,0.009584598
DNAJC18,5,139414162,0.009589978
CYR61,1,85580988,0.009650263
COMMD3,10,22318861,0.009700839
ANAPC13,3,134478663,0.009738035
TCFL5,20,62842036,0.009769855
B3GNTL1,17,83035060,0.009777461
ZNF593,1,26169993,0.009805658
WLS,1,68098675,0.009813999
BMP8B,1,39760430,0.009841977
MAP1LC3C,1,241996168,0.00993901
ACSBG1,15,78173655,0.00998245
EPB41L1,20,36125499,0.010029036
SLC6A19,5,1201664,0.010031383
CXADR,21,17513133,0.010061526
ACPT,19,50790419,0.010088636
C2orf71,2,29064877,0.010113362
PAIP2B,2,71202476,0.010119887
IQCJ-SCHIP1;SCHIP1,3,159764455,0.010134147
ABHD2,15,89116362,0.010159589
TMEM123,11,102401551,0.010214638
PTDSS1,8,96262041,0.010222287
ZCCHC14,16,87411519,0.010230372
ZNF2,2,95176236,0.010257598
C20orf24;TGIF2-C20orf24,20,36607770,0.010395412
PRR15,7,29566333,0.010397145
PHYHIP,8,22221469,0.010436955
HNRNPA3,2,177215814,0.010467025
ABHD15,17,29562577,0.01046724
PIP4K2A,10,22541807,0.010479166
BEND5,1,48727988,0.010523421
HSH2D,19,16148775,0.010543518
ARL3,10,102676907,0.01056629
NR2F6,19,17232356,0.010578612
PRKG1,10,50991417,0.01063737
SLC14A1,18,45727291,0.010729306
DIRAS2,9,90613258,0.010781128
CLDN4,7,73831231,0.010837214
NUCB1,19,48900822,0.010994957
FAM78B,1,166070246,0.011187472
CLEC12B,12,10010761,0.01123359
B4GALT4,3,119212554,0.011335638
CELF1,11,47473094,0.011339499
KIAA1755,20,38213119,0.011424865
AKAIN1,18,5145573,0.011436118
EFTUD2,17,44851287,0.011520076
MAP3K7CL,21,29085862,0.011592391
INPP5K,17,1495849,0.011602005
OR8B3,11,124396473,0.011627971
METTL7A,12,50925159,0.011637687
HTR2B,2,231108692,0.011670061
CCDC43,17,44678866,0.011671236
SLC39A3,19,2732783,0.011689661
EPHB1,3,134795665,0.011714336
SEC61B,9,99222555,0.01174048
ROCK2,2,11192167,0.011740969
ITIH4,3,52813485,0.011847003
EML1,14,99793480,0.011848108
UEVLD,11,18532334,0.011945755
GBP3,1,89007735,0.012003308
MARS2,2,197705408,0.012040087
ITGB8,7,20331861,0.012042708
ITGA10,1,145892803,0.012059622
HBG1,11,5248385,0.012062065
ARMS2,10,122454852,0.012098816
TRIM35,8,27287579,0.012099936
DYSF,2,71454015,0.012142639
LPAR1,9,110875485,0.012219594
SERPINB6,6,2948305,0.012266346
SALL2,14,21522017,0.012268999
RASAL3,19,15451817,0.012298465
DUSP23,1,159781113,0.01243695
SERPINB1,6,2833707,0.012453972
GLIPR1L1,12,75334819,0.012483011
STAB1,3,52495441,0.012501841
KRTAP13-2,21,30371694,0.012589277
FAM24B,10,122849267,0.012611581
SNRNP70,19,49086532,0.012669235
CERS4,19,8251120,0.012699064
WDR24,16,684744,0.012716541
VTI1A,10,112447393,0.012745667
PKHD1,6,51619081,0.012750726
ATP2B1,12,89591006,0.012801513
RWDD1,6,116580300,0.012921278
RNF115,1,145746926,0.012988544
GM2A,5,151253217,0.012995898
RBP2,3,139453122,0.013004137
GLRX5,14,95535103,0.013079844
ATOX1,5,151746430,0.013124886
PLAUR,19,43648892,0.013171164
RAET1L,6,150020176,0.013190329
BCL2,18,63318187,0.013251121
DAND5,19,12969665,0.013271181
IFIT1B,10,89378137,0.013273572
MCAT,22,43133055,0.013289319
GOLPH3L,1,150648376,0.013348793
CLIC4,1,24745579,0.013367785
MRRF,9,122270919,0.013450406
CHST3,10,72005849,0.013456512
CCDC184,12,48184147,0.013547004
SLC4A10,2,161624520,0.013555871
ZBTB25,14,64486991,0.013569159
NADK2,5,36195174,0.013610125
NKAIN2,6,123804204,0.013632157
MISP,19,756954,0.013640851
B4GALT2,1,43980012,0.013675124
DUSP18,22,30663457,0.01367704
PACRG,6,162728252,0.013831587
TRIM16L,17,18727585,0.0138897
PSCA,8,142681327,0.013895976
SCN4A,17,63940858,0.013909936
ANKZF1,2,219230258,0.013920567
MUC15,11,26561067,0.013923775
AURKB,17,8204879,0.01394797
KDM5B,1,202729043,0.013970281
YKT6,7,44201164,0.014062249
TBX6,16,30086268,0.014085203
KLHL29,2,23562204,0.014108441
SPRR4,1,152971893,0.014133599
COX6A2,16,31427790,0.014222984
PCDH8,13,52844612,0.014225616
WWC2,4,183099531,0.014339226
EIF2AK4,15,39934202,0.014351078
NCF4,22,36870431,0.014371412
SNRPN,15,24976364,0.014430945
ZNF574,19,42078587,0.014483343
HCAR3,12,122715611,0.014498128
DNAJC25,9,111647144,0.014533806
PHF14,7,10974850,0.014567523
WDR61,15,78283458,0.014575549
HINFP,11,119126969,0.014595212
PBX4,19,19562069,0.01469604
RAB3D,19,11325451,0.014733564
ISCA2,14,74493836,0.014809062
UQCRB,8,96231067,0.014822707
CHRM2,7,137014883,0.014869256
ASB4,7,95485978,0.014931796
ZMAT5,22,29731254,0.014960965
LYNX1,8,142764619,0.014986862
MNS1,15,56429175,0.015097536
ELFN2,22,37373085,0.015143541
FAM13A,4,88728602,0.015145655
EXOSC5,19,41386668,0.01533821
TNFAIP8L1,19,4651890,0.015405052
OLFML2A,9,124777272,0.015424832
FUS,16,31182398,0.015521556
CNPY4,7,100119754,0.015587843
CCDC84,11,118998202,0.015647642
SLC41A1,1,205791549,0.015654548
HIST1H3D,6,26196854,0.015689121
COPB2,3,139357871,0.015691252
MYC,8,127738281,0.015736084
CATSPER4,1,26190655,0.0157993
OR5D13,11,55773440,0.015824572
ZNF681,19,23743626,0.015845354
PEX1,7,92487487,0.015931445
FAM8A1,6,17600429,0.01595947
KRBA2,17,8369148,0.015999296
DTX1,12,113058199,0.016059888
HOOK3,8,42906209,0.016116249
CDC25A,3,48158964,0.016175295
SPINT3,20,45512658,0.01619017
DBX2,12,45016297,0.016210361
SYCP2L,6,10893873,0.016220097
RETREG2,2,219178456,0.016227159
C9orf142,9,136992444,0.016304181
TRAPPC11,4,183664009,0.01635496
NLRC4,2,32224496,0.016386243
WFDC11,20,45648735,0.016486621
XRCC1,19,43543414,0.016495374
GPT2,16,46884723,0.016502485
PDE4DIP,1,148863278,0.01650617
METTL23,17,76729730,0.016548658
SCRG1,4,173388341,0.016593145
KATNA1,6,149595054,0.016599758
DPP9-AS1,19,4682866,0.016619873
GINS1,20,25417190,0.016634087
CHD5,1,6106395,0.01667687
PSMA7,20,62136886,0.016844275
NEUROD1,2,181677806,0.016911877
FKBP2,11,64242458,0.017020971
MRPL20,1,1402131,0.017047276
ZNF138,7,64814928,0.017060044
SH2D3A,19,6752739,0.017121267
TIGD4,4,152769539,0.017164064
GFPT2,5,180301568,0.017214749
C2orf70,2,26572125,0.01734236
PHYHD1,9,128922331,0.017421749
PPP1R27,17,81833764,0.017424796
HSD17B6,12,56773863,0.01752784
TUBA3E,2,130191831,0.017650104
EEPD1,7,36154361,0.017683634
UFL1,6,96521874,0.017727702
OMD,9,92415169,0.017741181
FAM170A,5,119629830,0.017850475
SLC37A4,11,119024935,0.018093274
PHOX2B,4,41745823,0.018102997
RAB11FIP4,17,31391916,0.018106301
PGLYRP1,19,46019240,0.018109955
RBL1,20,36998809,0.018127258
APLP2,11,130069981,0.018244927
NISCH,3,52455658,0.018263587
ARHGAP28,18,6851059,0.018276965
TMEM150A,2,85599116,0.018318447
LDB1,10,102108103,0.018339606
OR1S2,11,58203218,0.018371618
PDP1,8,93917924,0.01840665
ZNF263,16,3283845,0.018433152
ZKSCAN8,6,28148439,0.018440022
PRKRA,2,178432114,0.018475729
PTGDR2,11,60852560,0.018484137
SPCS2,11,74949304,0.018532443
NRN1L,16,67884906,0.018581155
ADGRG3,16,57668351,0.018602406
VWCE,11,61258677,0.018625248
HARBI1,11,46603540,0.018642649
ILF3,19,10670974,0.018776955
NMB,15,84655400,0.018866354
RNF130,5,179963478,0.018915593
GRIK1,21,29537280,0.018972301
SLC8A3,14,70046021,0.019015342
ADAM33,20,3668971,0.019031166
ESRRG,1,216507022,0.019042726
OTUD3,1,19882578,0.019078776
CXCR5,11,118883969,0.019097343
KRTAP19-3,21,30491747,0.019112886
CEP162,6,84125104,0.019197005
MC3R,20,56248854,0.019201154
SNX32,11,65834084,0.01920554
VAMP1,12,6462840,0.019281093
CPSF7,11,61410948,0.019340924
PCDH15,10,53806580,0.019352634
PCED1B,12,47235134,0.01937425
SF3B2,11,66052428,0.019541172
UNC119B,12,120710503,0.019547989
COX10,17,14074328,0.019703408
ITGAV,2,186590370,0.019812828
CTSS,1,150733110,0.019924102
RSPH4A,6,116616648,0.019938703
G3BP1,5,151790335,0.020124127
TMEM132E,17,34581078,0.020136051
CBWD5,9,65675979,0.020178655
RNASE8,14,21057922,0.020211175
FGD6,12,95081528,0.020223223
MRPS33,7,141006485,0.020247517
ATP13A2,1,16985990,0.020268595
ZNF827,4,145764998,0.020284611
OR5AS1,11,56030420,0.020541102
SLAMF9,1,159951686,0.020548064
SLC52A1,17,5032983,0.020555173
GP9,3,129061863,0.020651479
KRTAP13-3,21,30425407,0.020748214
POLR3H,22,41529287,0.020786553
APH1B,15,63277624,0.020801975
NDST2,10,73802482,0.020841831
CDKN2AIPNL,5,134409913,0.020861299
IGF2,11,2132994,0.020889025
OR11H12,14,18601123,0.020893386
CHRM4,11,46385140,0.020912062
UBE2Q2,15,75843784,0.020929616
CRYGN,7,151430104,0.020962932
HOXA5,7,27141860,0.020973415
PTK6,20,63529543,0.020978254
RXRG,1,165401282,0.021173363
RAD54L2,3,51590439,0.021190809
NETO1,18,72749077,0.021241192
SP140,2,230237090,0.021390217
FPGS,9,127802925,0.021399011
BTN2A1,6,26458639,0.021407073
DRGX,10,49366130,0.021443771
CSRNP3,2,165595213,0.021450764
PIGZ,3,196947302,0.021498668
RAB24,5,177301751,0.021652973
ZC2HC1A,8,78666158,0.02178378
MAP3K2,2,127307587,0.021793577
BAZ2B,2,159320292,0.021799146
OR8I2,11,56093326,0.021870366
CAPN13,2,30731360,0.021906075
TYRP1,9,12693997,0.021928069
SF3A3,1,37960149,0.021984444
ATP6V1B1,2,70935957,0.021992411
TFB1M,6,155257863,0.022127638
IRAK2,3,10164983,0.022192621
UGT2B11,4,69200445,0.022215388
LZTS3,20,3164517,0.022245758
MRPL24,1,156737426,0.022392204
ACTR1A,10,102480883,0.022392368
FYTTD1,3,197750023,0.022406567
KLC3,19,45345584,0.022450748
ZNF436,1,23361976,0.022466566
DNAJC19,3,180984707,0.0225151
MYOZ2,4,119136544,0.02254309
ZNF114,19,48282375,0.022562689
ULBP2,6,149942104,0.022566519
PXYLP1,3,141260191,0.022567582
SLC38A8,16,84009787,0.022580422
KLF2,19,16324958,0.022624599
SCGB1D4,11,62297476,0.022642761
MSGN1,2,17816532,0.022730776
PIWIL3,22,24719525,0.022942669
C19orf24,19,1275566,0.023032947
SHISA5,3,48469123,0.023192587
BET1L,11,205318,0.023237202
SRP9,1,225777978,0.023285095
PRAMEF20,1,13416383,0.023467991
SAMD15,14,77377537,0.023553679
TNFRSF10A,8,23191695,0.023602884
BCL2A1,15,79967690,0.023706712
RBM44,2,237813652,0.02371506
DNM3,1,171841699,0.023730978
GATA6,18,22171160,0.023940011
TMPRSS11E,4,68476303,0.024107445
SIRPG,20,1630247,0.024230864
MRPS24,7,43866807,0.024372778
TAS2R39,7,143183430,0.02438187
CDPF1,22,46245096,0.024387729
CLPX,15,65150884,0.024492507
RYR3,15,33311056,0.024520538
PLEKHA6,1,204223496,0.024609151
CTSG,14,24573640,0.024629521
RASSF4,10,44970212,0.02464966
HEXA,15,72345461,0.024662511
PELO,5,52800432,0.024712306
TPD52L1,6,125153955,0.02489166
DEFB115,20,31257670,0.024893174
PIM1,6,37170330,0.024961924
MYBPC3,11,47332086,0.025004489
DMWD,19,45784684,0.025233365
UBA7,3,49805382,0.025259657
COPZ2,17,48026437,0.025312639
FGF10,5,44305002,0.025417307
KLRC4-KLRK1;KLRK1,12,10373122,0.02546333
ELOVL7,5,60754640,0.02547807
SH3TC1,4,8205204,0.025542269
HIPK2,7,139572937,0.025552708
DPM1,20,50935136,0.025571224
PCDHB10,5,141192602,0.025577797
ANKK1,11,113387894,0.025693439
ICAM2,17,64002749,0.025785859
GYPE,4,143876755,0.026100724
RASGEF1A,10,43196996,0.026123092
CSTF1,20,56395556,0.026169961
C16orf78,16,49373979,0.026182932
SEM1,7,96483887,0.026208551
CBLN2,18,72538178,0.026215236
PARP16,15,65259467,0.026224055
PLEC,8,143916185,0.026323158
TXN,9,110251437,0.026386132
C19orf47,19,40321896,0.026436316
NPC1,18,23532218,0.026436487
SERPINF2,17,1745190,0.026484478
PLXDC2,10,19817084,0.026487501
GALNTL6,4,171814626,0.026527757
LOC100130880,7,137953500,0.026569208
HIST1H4A,6,26021711,0.026606398
GLRX2,1,193096630,0.026717741
IL1RL2,2,102187063,0.026843727
TPM2,9,35682134,0.026848899
SLC26A7,8,91249652,0.026903071
ATG101,12,52073664,0.027018331
ST6GALNAC1,17,76625333,0.027121651
ZYG11A,1,52842903,0.027146271
C15orf40,15,82991967,0.027157934
CERS6,2,168456465,0.027181733
GMEB1,1,28683635,0.02733532
ANGPTL2,9,127088959,0.027344318
PEX5,12,7189935,0.027449716
GNG8,19,46634135,0.027645018
TSPYL4,6,116252773,0.027645855
FAM149B1,10,73168341,0.027710142
MLLT1,19,6213397,0.027779492
TRIP12,2,229778479,0.027805029
DARS2,1,173825236,0.027817006
TIMM9,14,58409104,0.027854441
IL23A,12,56339085,0.027859146
ARID3C,9,34621499,0.027861367
AGO3,1,35945788,0.027886997
C5orf66,5,135337966,0.027900292
DRG1,22,31399693,0.027982938
RNF11,1,51269968,0.028031247
CHCHD4,3,14112949,0.028037157
TMEM207,3,190429632,0.028091941
C22orf31,22,29058753,0.028094654
VPS53,17,519134,0.02812713
SLC9A4,2,102473778,0.02813114
NKX6-3,8,41646460,0.028205774
VIT,2,36729438,0.028219242
ZBTB24,6,109465867,0.028256302
KRT38,17,41437420,0.028273855
TBX18,6,84736751,0.028317847
PSG9,19,43258211,0.028374014
FZD7,2,202034669,0.028481703
SIRT5,6,13584115,0.02853764
AS3MT,10,102869805,0.028577345
PHF21A,11,45934035,0.028586005
PCDHB7,5,141172903,0.028594902
IRS1,2,226795018,0.028621803
SPATA12,3,57073752,0.028657394
TGFBR3,1,91683776,0.028658178
GAREM1,18,32267935,0.02869132
CAPSL,5,35904554,0.028748468
DEFB114,6,49960300,0.028759099
HIST1H2AG,6,27133072,0.02886343
C17orf49,17,7015078,0.028963805
NCAPD2,12,6495112,0.02896864
ZSCAN12,6,28390508,0.028977731
MYL5,4,678670,0.029179656
LMX1A,1,165203891,0.029214371
SLC25A39,17,44320033,0.029264264
LONRF1,8,12723121,0.029398969
AGO2,8,140541216,0.029495153
EEF2K,16,22225755,0.029530815
AQP5,12,49962019,0.029544446
PMFBP1,16,72119343,0.029560271
SETD2,3,47017724,0.02958595
SLC13A4,7,135681565,0.029625268
RNF217,6,124962554,0.029671971
ZNF558,19,8811291,0.029746004
L3HYPDH,14,59473029,0.029823815
RBM45,2,178112548,0.029826424
MEGF11,15,65897989,0.029836805
TCF23,2,27149221,0.030008285
BTNL3,5,180989061,0.030040991
MAGI2,7,78019335,0.030061058
P2RX6,22,21015173,0.030121297
EIF3J,15,44537196,0.030132675
CACNA1C,12,2053563,0.03018115
THAP2,12,71664547,0.030245392
ZNF793,19,37532357,0.030272092
GPR160,3,170084012,0.03032175
GPAT4,8,41599242,0.030439088
DNAJC30,7,73682746,0.030441255
ASCC2,22,29789044,0.030516231
MRPL1,4,77862862,0.030532624
PCNX4,14,60107667,0.030536935
FXYD7,19,35143343,0.030628045
NBPF9,1,149055661,0.030695226
VRK1,14,96833478,0.030708578
SCAMP1,5,78388882,0.030725142
TREML4,6,41228431,0.030784933
ACADS,12,120725887,0.030787243
EMP2,16,10532906,0.030847902
DLC1,8,13085908,0.030933246
WWOX,16,78099788,0.031033116
WDFY2,13,51584725,0.031112097
ACSL5,10,112376313,0.031147325
METTL18,1,169792584,0.031177627
VPS13D,1,12234354,0.031188501
MXRA7,17,76677605,0.031189345
