SNP,Chromosome,Position,trait1
IPO9,1,201829243,0.00426392723984936
SLC18A3,10,49610781,0.00432437184065326
C1orf228,1,44689729,0.0043283710785148
PHF21B,22,44883102,0.00435966772408536
KLK11,19,51022595,0.00437305642498576
GGT7,20,34845357,0.00439237355030342
ORAOV1,11,69667530,0.00440540186677063
CRTC2,1,153948216,0.00445774306961144
HHLA2,3,108351875,0.00446092313623003
SAA2-SAA4;SAA4,11,18231505,0.00451194959884682
IFNGR1,6,137198101,0.0046686109158337
SNRNP70,19,49086539,0.00467680988232466
ACCS,11,44067671,0.0047104509160053
SEMA3G,3,52435623,0.00472823496978447
FAM187B,19,35225000,0.00473211458542122
GGCX,2,85549957,0.00476425623348165
CD8A,2,86785930,0.00476808260831485
CST8,20,23491669,0.0047693159675547
FABP6,5,160199120,0.00478876963800434
RHBDL3,17,32266208,0.00484232021591868
VRK1,14,96847272,0.00484991401724622
CDC45,22,19479987,0.00485768210276427
MRE11,11,94420166,0.00487206428147213
PMPCA,9,136410673,0.00489633267252798
C6orf183,6,109239337,0.00490436254534277
TRUB2,9,128309560,0.0049373461839427
NDRG4,16,58487801,0.00495637379033398
RPL26,17,8377653,0.0049849607081951
MAPRE2,18,34978515,0.00500998570220568
RARG,12,53211710,0.00502165762971452
ONECUT3,19,1753681,0.00503879617687242
OR2D2,11,6891596,0.00507992093999388
SMG6,17,2061566,0.0051094279927264
CPA2,7,130266931,0.00516887664460353
EPGN,4,74308558,0.00518222975468341
PAXBP1,21,32734961,0.00518614738848555
POU4F3,5,146339168,0.0052202094669036
PKIB,6,122717824,0.00524385244208669
MYSM1,1,58661460,0.00526417277264668
ANKRD34A,1,145960384,0.00528069414329901
MZB1,5,139387847,0.00532908077894112
EFCC1,3,129001671,0.00533119775251412
GIPR,19,45669530,0.00533912603250553
CAMLG,5,134738699,0.0053424663031334
ZBTB39,12,57002801,0.00535137880098013
STATH,4,69998453,0.00535582134547041
H1FX,3,129315304,0.00544436529381931
EIF2B4,2,27364467,0.00548052229904894
TBRG1,11,124623130,0.00556243675937262
FOXRED2,22,36490013,0.00556306429770259
RRBP1,20,17614754,0.00557217483609929
MRS2,6,24403047,0.005588000298683
JUP,17,41755775,0.00559786657652217
CSF1R,5,150054173,0.00561029516854827
NEUROD6,7,31338286,0.00564776128307576
MORF4L1,15,78873036,0.00565956462272177
RHOH,4,40243544,0.00567716714444644
CEACAM6,19,41756620,0.00572137173126619
RAD54B,8,94372207,0.00572281983717271
PSMA7,20,62136864,0.0057228977178152
POC1A,3,52096609,0.00577954990863228
HAUS1,18,46104419,0.00580294433895823
EIF4A2,3,186783615,0.00580611927018304
TRIB3,20,382561,0.00580648475374268
CWC27,5,64781924,0.0058472567742468
GABRB1,4,47031658,0.005880604317829
C2orf69,2,199911443,0.00589602178350623
CCIN,9,36169651,0.00591559558083576
DYRK2,12,67649940,0.00601317239624988
NXPE3,3,101785607,0.00601955306325563
DAGLA,11,61720764,0.00602688533266005
LDLRAD2,1,21814431,0.00603794991434914
POMK,8,43103630,0.0061190732757509
CD82,11,44600171,0.00613206593729432
MKRN3,15,23565952,0.00618006056826503
JAKMIP3,10,132104839,0.00621487758375028
BAZ1B,7,73442198,0.00625995071279295
PTPRD,9,8317878,0.00629632429636862
RBBP4,1,32657456,0.00632303321390271
TMEM69,1,45691076,0.00632788279279128
KRTAP13-3,21,30425407,0.00636778400432714
RYR1,19,38440778,0.00637774552088266
TRIM4,7,99892234,0.00644109518083624
FOXD4L4,9,65737146,0.00645312260563047
KLRC4-KLRK1;KLRK1,12,10378610,0.00645946792966479
MYADML2,17,81940838,0.00652185446387599
GRXCR1,4,42893303,0.00652749019800003
SGSM2,17,2337692,0.00655261612701796
CHST5,16,75529156,0.0065715050442986
SRRM2,16,2756387,0.00664269118485228
ACAA1,3,38123094,0.00667761213522911
CCDC181,1,169395120,0.00669683474711535
MIER1,1,66925036,0.00673871710520224
DUSP10,1,221702572,0.00674489991405269
PTAR1,9,69718349,0.00684440358049665
PIAS4,19,4013052,0.0068820279530295
HTRA3,4,8269975,0.00693029646282428
C2CD4C,19,407205,0.00694505195092598
MICAL1,6,109444235,0.00705805898571621
FAM89B,11,65572676,0.00706693964227867
LAMA3,18,23689756,0.00707475082948583
G6PC,17,42900890,0.007077136883616
TPPP,5,665221,0.00714760385343649
TOR4A,9,137278716,0.00720273287718431
SOCS2,12,93572923,0.00721498665897935
DOLPP1,9,129081154,0.00724042046440398
GPR75-ASB3,2,53859891,0.00725637256236444
PRKRA,2,178432161,0.00727749480711559
ARSB,5,78780453,0.00730579313750501
ATP6V0D1,16,67439029,0.00731408491306373
NR5A1,9,124482765,0.00732477123083253
KIZ,20,21126038,0.00732739967318097
KLK9,19,51003128,0.00732980267550676
IL21R,16,27403204,0.00736180424987132
EIF4E1B,5,176643127,0.00737887981810215
ANXA8L1,10,46382631,0.00738327078830192
STARD13,13,33105651,0.00738532226477018
KRT10,17,40818811,0.00738964818587418
BUD31,7,99416237,0.00745950332868861
FAAP20,1,2189760,0.00748824951306615
COL7A1,3,48564792,0.00751362894473095
PNMA1,14,73712610,0.00753018360083979
CPLX2,5,175878910,0.00759220401126048
CFAP69,7,90245462,0.00759869500058463
ANKRD23,2,96839562,0.00768761432114684
LEMD3,12,65169601,0.00769827567785775
CSNK1G1,15,64180378,0.0077023998044482
MAD1L1,7,1816099,0.00771341618719568
AUH,9,91214395,0.00777565295876936
FAM46B,1,27006030,0.00784065902963949
TMEFF1,9,100473555,0.00784745842814483
NEK3,13,52133150,0.00785092291510736
TTLL12,22,43168044,0.00785800447935703
CBX2,17,79778258,0.00786175697789115
CHRNA3,15,78601370,0.00790874137788933
NFX1,9,33290588,0.00793442112183074
KRTAP13-1,21,30396123,0.00797529572149547
MBLAC1,7,100127480,0.00799301066655
NEFH,22,29480264,0.00800874998979884
MSX1,4,4859928,0.00801196233175383
TWSG1,18,9360024,0.00804401600107196
MAP3K7CL,21,29085900,0.0081116280155985
SUPT7L,2,27653510,0.0081273308564247
FZD8,10,35639441,0.00822330195520926
AGR2,7,16792956,0.00824540853814415
ZC3H10,12,56120605,0.00833506535844208
VASP,19,45517667,0.00835365961399737
ACTBL2,5,57481654,0.00841571063761137
SFI1,22,31508309,0.008466538772956
GTPBP10,7,90346749,0.00849391750024098
AMDHD1,12,95943400,0.00850095592418676
ZNF532,18,58918478,0.00850765323961156
KDELC1,13,102786248,0.00850839853278051
INA,10,103277213,0.00852252857221847
RELB,19,45001685,0.00853069838541387
HCN4,15,73322506,0.0086655355565417
TBR1,2,161416609,0.00868412748606218
HHATL,3,42692758,0.00872782553745399
RNF144A,2,7014502,0.00873381193790634
REG1B,2,79085239,0.00876345530064526
TACR2,10,69404839,0.00880021895583216
PSEN2,1,226881956,0.00881995187896301
GMFB,14,54478114,0.00882818828218068
LRGUK,7,134127459,0.00883980945213936
SMAGP,12,51245973,0.00891654326842961
CA9,9,35674061,0.00894245014144202
C17orf80,17,73235838,0.00898108237557538
CSDC2,22,41571986,0.00901096092248477
TUBA8,22,18121480,0.00901711816067519
PPP1R27,17,81833764,0.00902172040954319
CPSF3,2,9423819,0.00902482366154667
DDR2,1,162719130,0.00903017377199355
TNNI1,1,201410342,0.0090608588237302
VWA8,13,41568283,0.00908525870024035
ZNF25,10,37952135,0.00909850626301789
SOX10,22,37973604,0.00915947854503596
IL23A,12,56339085,0.00920178807037431
BUB1B,15,40161234,0.00920318543626597
ARFIP2,11,6477156,0.00921579323263744
XXYLT1,3,195069725,0.00922245839533631
HNRNPA3,2,177215862,0.00930558735107612
CCDC124,19,17936444,0.00934819020399069
ATXN7L1,7,105607877,0.00936450583965076
DNAJC3,13,95709254,0.00937316731457483
IL6,7,22727515,0.0094166116054516
PNMA8A,19,46469744,0.00945918698402259
PHF19,9,120858152,0.00948575954795305
NFIA,1,61081962,0.00948816661049912
RSPRY1,16,57204767,0.00949606337134001
ITGAM,16,31261775,0.00950723127550268
BCL11A,2,60452576,0.0095463319518706
GOSR1,17,30477441,0.00954703000874435
PEAK1,15,77114241,0.0095717731063355
HES4,1,999088,0.00961500708557983
EHBP1,2,62764303,0.00966083753810365
MEF2D,1,156468024,0.00966744369753736
TRMT10C,3,101564827,0.00968351110157006
TNRC6B,22,40156182,0.00970224470756842
SOWAHA,5,132813630,0.00975082617451983
CD36,7,80646771,0.00979381328334894
THG1L,5,157731441,0.00986730549276316
MAPK11,22,50264959,0.00995726703480293
PEX11G,19,7477231,0.00996992561483878
IFT88,13,20574443,0.00997502912587667
TACO1,17,63601165,0.0100123224941614
HIST1H4H,6,26285204,0.0100374547227928
ENPP7,17,79731200,0.0100555586547401
OR10T2,1,158398530,0.0100575514625795
TLDC1,16,84479922,0.0101974385533069
DDX27,20,49219405,0.0101988954772199
DIDO1,20,62879243,0.0102103830938651
RRAS2,11,14279381,0.0102860920915002
PTMA,2,231711348,0.0102976930375784
HIST1H2BN,6,27838690,0.010303677535778
ERI2,16,20780648,0.0103165821632315
GET4,7,876647,0.0103315984329022
ANKMY1;DUSP28,2,240560742,0.010332743837019
ST7L,1,112526086,0.0103686059748058
LOC100287036,16,89324266,0.0104240492211275
STYK1,12,10620226,0.0104313881616522
ZNF546,19,39998327,0.0104548311708921
MIGA1,1,77779657,0.010482744188232
POLR2C,16,57462803,0.010494232972843
SLC22A9,11,63370076,0.0105129266708074
C12orf75,12,105330920,0.0105500790461832
ZNF43,19,21808702,0.0106282436608122
FAM109A,12,111362738,0.0106498758970548
UHRF1BP1,6,34823312,0.0106826790009327
CCDC177,14,69571545,0.010698326206066
MT4,16,56565156,0.0107509899123134
KSR2,12,117469698,0.0107867551061751
VWC2L,2,214414211,0.0107874527740056
LIN7C,11,27498714,0.0108001624964523
XPO5,6,43523920,0.010836023454926
FRG2C,3,75664423,0.0108481076085779
CEP76,18,12673378,0.0108564857999015
DNAJB6,7,157363165,0.0108988994092735
OLIG1,21,33070296,0.0109055301696885
SNCA,4,89729235,0.0109070370494712
HDAC2,6,113941738,0.0109213513606722
DCST1,1,155034056,0.0109395776120844
TRIM43,2,95594069,0.0109954833106113
SDHAF2,11,61430151,0.0110216448582731
HIST3H2BB,1,228458134,0.0110252962048984
HOOK2,19,12763283,0.0110313540394537
SPTBN2,11,66686031,0.0110547158303725
CRB3,19,6464760,0.0110618736343635
KIAA1755,20,38213152,0.011109895554597
ADM5,19,49690108,0.0111195797778252
RBM12,20,35652713,0.011152020916242
SIGMAR1,9,34635623,0.0111829945229981
RGPD2,2,86913851,0.0111934877917429
GTPBP2,6,43621625,0.0112486731440525
RASAL2,1,178094493,0.0112560584800435
PLCB4,20,9307822,0.0112688657412745
ZNF704,8,80641419,0.0113162037686739
MED7,5,157138988,0.0113749824030838
TMEM178B,7,141074333,0.0113821688834743
OR5AP2,11,56641630,0.0114508874038667
DAB2,5,39376689,0.0114831062974342
C10orf62,10,97589901,0.0114901385980359
MRAP,21,32298974,0.0115032354671366
NAA30,14,57391039,0.0115350791673756
RAC2,22,37226707,0.0115477833798453
FANCL,2,58159793,0.0115680689328783
CCT3,1,156309225,0.0116258056226411
GPD1L,3,32128119,0.0117097479101739
MRPL55,1,228106794,0.0117176685797779
LENEP,1,154993683,0.0117245903749084
CTNNB1,3,41224556,0.0117373233088252
ARHGAP35,19,46918914,0.011741259528034
DCUN1D1,3,182945105,0.0117663941682594
PDE6G,17,81651100,0.0117855817549589
ATP10D,4,47512578,0.0117947185960794
GLUL,1,182384443,0.0118949992839169
ACD,16,67658044,0.0118992393969646
MRPL12,17,81703508,0.0119275218636652
SLC7A8,14,23127214,0.0119994238151863
EIF4E2,2,232550744,0.0119996394397219
TXNL4A,18,79973765,0.0120215476559155
RGS13,1,192658225,0.0120300943209228
C19orf60,19,18588898,0.0120309614112843
ARHGEF7,13,111115543,0.012054211502958
TRAF1,9,120905135,0.0120651924025785
DZIP1,13,95582257,0.0120951126066342
IGSF21,1,18108136,0.0121286649091563
MPPED1,22,43424992,0.012138275297944
MAP3K1,5,56815575,0.0121886237562993
FAM50B,6,3850032,0.0121966316493464
PNMA8B,19,46493569,0.0122667488928336
ZFP1,16,75166821,0.0122988131152717
TMEM229B,14,67473492,0.0123002968685969
DNAJC13,3,132434618,0.0123471472930672
DEFB134,8,11994005,0.0124136477178671
LATS1,6,149661790,0.0124994412385095
HOXC6,12,54028571,0.0125035587579235
SCAF1,19,49645084,0.0125149309497075
NAPG,18,10539777,0.0125432774978782
PSMB7,9,124353602,0.0125849299646917
ESRRG,1,216507159,0.012721031544333
STXBP6,14,24812726,0.0127282352497371
DPY19L2,12,63569230,0.0127565910450174
CYP20A1,2,203246815,0.0128099896989488
POTEM,14,18967501,0.0128349782642168
HAS2,8,121614159,0.0128789679487342
IRF8,16,85903038,0.0128981281838347
RBM11,21,14216192,0.0129024794048588
TMEM63C,14,77218872,0.0129075907640021
PLCD4,2,218615926,0.0129377371245939
IDI2,10,1019548,0.0129597493861021
THAP11,16,67842862,0.0130167999785211
CFAP20,16,58114896,0.0130223348277867
HK2,2,74854354,0.0130446789596553
EGFL7,9,136668331,0.0130881212316682
OTOP3,17,74935802,0.0131880436176611
HNRNPA0,5,137753239,0.0132006257179862
IQSEC3,12,174600,0.0132105415931636
MED20,6,41907077,0.0132561332760329
AQP8,16,25217047,0.0132784197081216
PCDHGB2,5,141360189,0.0133354066613109
PACS2,14,105348501,0.0133386819912673
ABCA10,17,69148870,0.0133848879557192
TMEM233,12,119593858,0.0133921647733246
PSG9,19,43258246,0.0133943651077698
ADAP2,17,30922099,0.0134030899225388
CTDSP2,12,57824058,0.0134401902919021
SETD3,14,99398768,0.0134498588918607
PELI3,11,66468160,0.0134553408466594
CLTA,9,36191072,0.0135309376663064
PLSCR2,3,146449232,0.0135727784872958
IGHMBP2,11,68903959,0.0135973065733362
CD59,11,33710214,0.0136015655314985
SPC24,19,11147245,0.0136274592836315
C5AR2,19,47340854,0.013698117874381
C9orf163,9,136484563,0.0137186583527745
NATD1,17,21243333,0.0137602194420694
CDKN2C,1,50970417,0.013808205203561
BRD3,9,134034710,0.0138220033841721
THPO,3,184372583,0.0138427978607143
PDE4D,5,58974690,0.0138503552491083
PDPR,16,70120518,0.0139045059471707
C4BPA,1,207113035,0.0139174750225053
ZBTB11,3,101651171,0.0139757275928517
PAQR5,15,69360100,0.0140568908147802
USP25,21,15730431,0.0140628342896162
SLC22A8,11,62993328,0.0140738363903447
NUP54,4,76117759,0.0140763594170403
PPP4R1,18,9547848,0.0140896892131311
KIF1BP,10,68988846,0.0141195238311334
CCDC122,13,43837312,0.0141466743496665
SHPRH,6,145886765,0.0141672863841814
SLC6A17,1,110166996,0.0142194391194238
TANC1,2,159065939,0.0142260617215443
CLEC3B,3,45026382,0.0142282725539298
BCL7A,12,122035427,0.0142922223613714
ABO,9,133255681,0.01434547297832
DUSP7,3,52050819,0.0144189714408284
NDC80,18,2573023,0.0144389738645383
SNRPN,15,24976409,0.0144421097574332
MBD6,12,57524775,0.0144588561655267
PCGF6,10,103314214,0.0145016572745892
CREB1,2,207555683,0.0145158394165062
ERN2,16,23690838,0.0145717184382632
IMPAD1,8,56963807,0.0145765105824072
STMND1,6,17115040,0.0146048365123588
TRAPPC5,19,7682270,0.0146319091636771
DCAF4,14,72937999,0.0146520555394977
HSPB3,5,54455810,0.0147793093192186
HPCAL1,2,10419893,0.0148516752772714
VAMP4,1,171704514,0.0148759403965918
CD164,6,109368870,0.0148989760161133
OSBPL9,1,51617124,0.0149226271737156
KIAA1161,9,34370884,0.0149557995537998
TM7SF3,12,26974029,0.0150209712698877
SCAP,3,47413912,0.0150254561221305
PROSER1,13,39011429,0.0150787257040464
OR7A10,19,14840998,0.0151320033479987
TTC5,14,20289646,0.0151505597655183
PTGER4,5,40681139,0.0152270596096769
DEDD,1,161122422,0.0152339841546307
SLC45A1,1,8324418,0.0152458457659491
DCAF4L2,8,87872833,0.0155138451285365
CA11,19,48638123,0.0155156969829517
OSM,22,30263887,0.0155616077311174
MYL6,12,56158404,0.0155944635714893
PPP1R3C,10,91629938,0.0155986127906832
DZIP1L,3,138062820,0.0156418422762713
TMOD3,15,51862936,0.0157328205237343
DERL2,17,5474697,0.0158135670914351
RND1,12,48858058,0.0158263560227803
ELP2,18,36129989,0.0160023293661026
COX7B2,4,46734969,0.0160428513842451
RBM28,7,128310804,0.0160611247489072
KPNA3,13,49702390,0.0160618270119389
GPR4,19,45590791,0.0160807157889329
NANOG,12,7789631,0.0161435612994085
TNFRSF8,1,12063656,0.0161592714669518
HOXA5,7,27141843,0.0161671395248052
C3orf35,3,37417351,0.0161791118494498
CAMSAP2,1,200761006,0.0162280015009801
FBXL21,5,135936663,0.0162283899046026
ZWILCH,15,66505387,0.0162330411845835
SLC31A1,9,113256161,0.0163147800019402
MLYCD,16,83899152,0.0163359994205174
NUP107,12,68689044,0.01635480912351
WDFY3,4,84672963,0.0164384668840577
PNISR,6,99400294,0.0164555684537497
GABRR3,3,97986693,0.0164914017697817
RETSAT,2,85343262,0.016500369712826
TBC1D28,17,18636481,0.016564569985109
C9orf116,9,135495479,0.0165649353299854
XRN1,3,142311570,0.016583609803987
SLC8B1,12,113299868,0.0165987128091395
UBXN2B,8,58411402,0.0166185701667763
TRAF5,1,211353259,0.0166299940954256
SGCG,13,23203711,0.0166343838771646
SPTBN4,19,40472632,0.016668672272739
SURF2,9,133356593,0.0167160888622641
SLC22A4,5,132294722,0.0168692363637755
GNAL,18,11689664,0.0169698269552182
RELL1,4,37631405,0.0170468934939163
MS4A14,11,60396631,0.0171647264137275
PRSS56,2,232520611,0.0171816314136573
PIGV,1,26790837,0.0172114148819271
AP3D1,19,2102247,0.0172241452421318
COBLL1,2,164686010,0.0172634618564692
YY1AP1,1,155659703,0.0172893233548036
ATP2B4,1,203683210,0.0173703911766968
KCTD18,2,200490216,0.0174076824662251
UNC119B,12,120710481,0.0174440916899015
CRYGC,2,208128255,0.0174842093432729
OR56A3,11,5947359,0.0174899636507766
SPEN,1,15848116,0.017522250514709
TMEM265,16,30741776,0.0175237463229527
NISCH,3,52455661,0.0175669871374448
TUBGCP3,13,112516485,0.0175678173659418
RHOU,1,228735746,0.0176421686992977
JRKL,11,96390695,0.0176839871567182
ARID5B,10,61901720,0.0177114751189525
SLC41A1,1,205791541,0.0177735929890687
PFKM,12,48107426,0.0177885888093083
LOXL4,10,98248926,0.0177993175564827
WDFY1,2,223878693,0.0178332159775355
LSM12,17,44036279,0.0179320738196184
FAM207A,21,44940116,0.0179327109843985
ANGPTL2,9,127091765,0.0179707222416677
PPA1,10,70206283,0.0180698903671731
NEK7,1,198253064,0.0180791036469387
LOXL2,8,23298050,0.0180938414555191
ZNF761;ZNF765-ZNF761,19,53447281,0.0181391785967833
CNTD1,17,42799074,0.0181435434230099
AK8,9,132725722,0.0181620360297907
PTS,11,112228601,0.0181785762440747
ZNF385C,17,42026934,0.0183186817073996
SEPT3,22,41981711,0.0183253291121859
EIF3A,10,119036091,0.0183258386794067
GPR88,1,100539030,0.0183881738730999
COPS8,2,237086008,0.0184552676925737
PBOV1,6,138218043,0.0185157828726683
RNF208,9,137220437,0.0185741640067806
SPATA46,1,162374071,0.0185744320958591
AP4M1,7,100101740,0.0185819007011321
NCF1,7,74777339,0.0186031177699958
SPOP,17,49600394,0.0186269378105433
PIK3C3,18,41955310,0.0186894553262614
ACER2,9,19423968,0.0186902268764609
GARS,7,30594940,0.0186951897086637
GIPC3,19,3585601,0.0187270633421356
ENO2,12,6915842,0.0187302960330672
PCNP,3,101574240,0.0187531323584348
XCL1,1,168576639,0.0187965622360003
FPGS,9,127802937,0.0188066132455716
TP53I13,17,29568806,0.0188712219700079
LYPD2,8,142750290,0.0189321809290486
KLK4,19,50907002,0.01905335978623
DCK,4,70993879,0.0190769307640141
NBEA,13,34942835,0.0190899916535644
MRPL49,11,65122357,0.0191794315407964
ZNF626,19,20624319,0.019224553203281
NRXN3,14,78243098,0.0193183127307829
NPFFR1,10,70254957,0.0193910621028964
SPATA45,1,212835983,0.0194907617201573
SRCIN1,17,38562240,0.0195956672296422
SSPO,7,149776057,0.0196052840305281
OTX1,2,63053030,0.0196504477784876
CARD17,11,105099373,0.0196758930152876
MARVELD1,10,97713973,0.0196905736339236
GALR1,18,77250549,0.0196934024531789
HJURP,2,233837578,0.0198185660905998
DPPA4,3,109328913,0.0198463976496365
SH3GLB1,1,86704912,0.0198815867839851
CAPN2,1,223712656,0.0199671644528071
RAPGEF2,4,159186645,0.0200013200798939
ITSN2,2,24203708,0.0200132964841935
IKZF1,7,50327671,0.0200466476316216
COL9A1,6,70217078,0.0201258859837919
ACVR2B,3,38477311,0.0201677944513566
SLC10A6,4,86823730,0.0201941468250919
SENP3,17,7563316,0.020256282786109
DDIT3,12,57516817,0.0203134063755199
AASDHPPT,11,106077720,0.0203510599363523
PDHB,3,58428104,0.0203801100158989
HSF2BP,21,43592314,0.020389975215055
TAAR9,6,132538290,0.0204024507248782
CORT,1,10450244,0.0204061044268169
